country,order_value_eur,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Sweden,17524.02,14122.61,2020-02-12,Books,Goldner-Dibbert,Maxie Marrow,Madelon Bront,Mobile,70-0511466
Finland,116563.4,92807.78,2019-09-26,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,Mobile,28-6585323
Portugal,296465.56,257480.34,2019-07-11,Clothing,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,Pc,58-7703341
Portugal,74532.02,59752.32,2020-04-02,Beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Pc,14-6700183
Spain,178763.42,146621.76,2019-12-22,Games,Johns And Sons,Emalia Dinse,Bertha Walbrook,Tablet,15-8765160
Spain,84900.24,73701.9,2020-07-14,Clothing,"Farrell, Swaniawski And Crist",Emalia Dinse,Perri Aldersley,Pc,60-6998932
Portugal,71620.08,62245.01,2019-02-05,Books,Schoen-Keeling,Celine Tumasian,Smitty Culverhouse,Pc,69-6259390
Uk,156585.22,126599.15,2020-08-30,Accessories,"Hermiston, Simonis And Wisoky",Jessamine Apark,Winny Agnolo,Pc,64-5761908
Portugal,78461.13,63537.82,2020-05-10,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Mobile,91-4126746
France,64827.8,56043.63,2019-01-20,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,Pc,62-3312495
Sweden,142664.34,120808.16,2019-05-04,Appliances,"Swaniawski, Runolfsson And Green",Maxie Marrow,Madelon Bront,Pc,85-6625096
Uk,66673.19,52811.83,2019-02-23,Smartphones,Gislason-Stanton,Jessamine Apark,Winny Agnolo,Pc,25-6368157
Portugal,136915.61,114790.05,2020-01-04,Outdoors,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Tablet,15-3943365
Uk,164971.7,132686.74,2019-07-20,Accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,Pc,32-3534634
Uk,149486.27,118662.2,2019-08-06,Beauty,Johns And Sons,Jessamine Apark,Genevra Charrisson,Pc,02-3972649
Sweden,54078.92,46102.28,2020-11-08,Books,Tillman And Sons,Maxie Marrow,Anita Woakes,Pc,08-7576451
France,107499.78,91364.06,2019-02-26,Smartphones,"Rowe, Hermiston And Kessler",Othello Bowes,Amelina Piscopiello,Pc,68-3583935
Uk,29493.79,24285.19,2019-11-22,Games,Tillman And Sons,Jessamine Apark,Jay Morefield,Pc,53-7769693
Portugal,147656.52,124193.9,2019-06-05,Smartphones,Goldner-Dibbert,Celine Tumasian,Corene Shirer,Pc,85-4732103
Portugal,156839.31,134709.28,2020-05-11,Smartphones,Stamm Inc,Celine Tumasian,Corene Shirer,Pc,27-9800293
Spain,81412.1,64747.04,2019-11-06,Electronics,Johns And Sons,Emalia Dinse,Bertha Walbrook,Pc,67-3929836
Sweden,56717.53,45101.78,2019-03-10,Clothing,Johns And Sons,Maxie Marrow,Alyosha Meah,Pc,13-0526029
Netherlands,17028.19,14102.75,2020-02-07,Clothing,Johns And Sons,Denice Amberg,Nero Harbisher,Pc,38-5910704
Finland,236462.3,205674.91,2020-12-23,Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,Pc,41-6407014
Portugal,172989.17,142975.55,2020-06-10,Beauty,Romaguera-Dietrich,Celine Tumasian,Hortense Gerring,Pc,22-6745595
Sweden,48179.57,41405.52,2020-08-14,Books,Franecki-White,Maxie Marrow,Anita Woakes,Pc,96-3022721
Portugal,121318.55,102890.26,2020-03-10,Electronics,"Jacobson, Marvin And Brown",Celine Tumasian,Aurelie Wren,Tablet,48-0713329
Belgium,93153.98,79702.55,2020-04-03,Appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,Mobile,50-0942872
Bulgaria,98289.32,84116.0,2019-02-15,Appliances,"Murray, Reichel And Nolan",Charil Alpe,Shermy Mcgready,Pc,78-2307905
Luxembourg,108920.56,94270.74,2019-07-08,Books,"Swaniawski, Runolfsson And Green",Ilsa Kob,Jocelyn Laurentino,Pc,63-0019978
Portugal,37273.84,31559.76,2020-01-20,Games,Considine-Fisher,Celine Tumasian,Aurelie Wren,Tablet,26-9948924
Spain,221745.05,190767.27,2019-06-25,Appliances,Kirlin And Sons,Emalia Dinse,Bertha Walbrook,Mobile,72-7630507
Netherlands,54566.99,43757.27,2020-03-23,Smartphones,Friesen-Rath,Denice Amberg,Nero Harbisher,Pc,36-3410564
